14-04-2022,Scootypetrol,Petrol/Gas,Unnamed: 0,300.00
14-04-2022,Lunch,Food and Dining,,40.00
14-04-2022,Milk Bread,Food and Dining,,87.00
,,,0.0,767.00
15-04-2022,Kfc,Food and Dining,,694.00
15-04-2022,Venus Grocery,Groceries,,"1,032.00"
15-04-2022,Iron,Household,,500.00
15-04-2022,Vegetables,Vegetables,,146.00
,,,0.0,"2,372.00"
16-04-2022,Airtel Tv Setting,Cable,,650.00
16-04-2022,Cable Monthly,Cable,,214.00
16-04-2022,Milk,Food and Dining,,46.00
16-04-2022,Clock,Household,,120.00
16-04-2022,Multi Holder,Household,,80.00
16-04-2022,Atta Noodle,Food and Dining,,92.00
,,,0.0,"1,202.00"
17-04-2022,Utenstil Stand,Household,,"2,150.00"
17-04-2022,Bhadrak Gas,Gas,,990.00
17-04-2022,Pav bhaji,Food and Dining,,140.00
17-04-2022,Marker N Cover,Education,,75.00
17-04-2022,Aloo,Vegetables,,20.00
17-04-2022,Fruits,Fruits,,150.00
17-04-2022,Melon N Banana,Fruits,,120.00
17-04-2022,Grocery,Groceries,,832.00
17-04-2022,Shoe Stand,Household,,"3,000.00"
17-04-2022,Fish,Food and Dining,,90.00
17-04-2022,Vegetables,Vegetables,,250.00
,,,0.0,"7,817.00"
18-04-2022,AC Fitting+Fan,Household,,"3,000.00"
18-04-2022,AC Wire And Pipe,Household,,"1,200.00"
18-04-2022,Milk,Milk,,23.00
,,,0.0,"4,223.00"
19-04-2022,Milk,Milk,,46.00
19-04-2022,Drawing sheet +pen,Education,,200.00
19-04-2022,Kaju,Food and Dining,,345.00
,,,0.0,591.00
20-04-2022,Paida,Food and Dining,,100.00
20-04-2022,Deo,Personal Care,,275.00
20-04-2022,Papoch,Household,,200.00
20-04-2022,Stapler,Stationery,,72.00
20-04-2022,Grocery,Groceries,,228.00
20-04-2022,Shoe,Clothing,,260.00
20-04-2022,Sprite,Food and Dining,,40.00
20-04-2022,Dahi BARA,Food and Dining,,40.00
20-04-2022,Chiken,Food and Dining,,250.00
